movie,critics,boxoffice,rd,theaters,sentiments,user,counts,class
baden-baden,77,NULL,11/25/2016,NULL,0.975661490724,NULL,0.696196437169,0
cosmos,72,25269,06/17/2016,2,1.05319881365,NULL,2.98546523666,0
notes-on-blindness,75,NULL,11/16/2016,NULL,0.663127625718,NULL,0.197666437886,0
miss-hokusai,74,222670,10/14/2016,84,0.240950816046,7.4,0.129819040126,0
indian-point,68,7251,07/08/2016,2,0.19716686136,NULL,3.42943548387,0
certain-women,82,1087585,10/14/2016,138,1.09873909813,6.0,0.066705971532,0
tanna,75,46654,09/16/2016,10,0.317850325593,7.0,0.310850439883,0
neruda,82,939101,12/16/2016,46,0.602147333639,7.3,1.09274193548,0
the-uncondemned,80,14393,10/21/2016,2,1.29903133569,NULL,0.102150537634,0
eva-hesse,69,157481,04/27/2016,7,0.502175426197,NULL,0.303400174368,0
three-2016,71,119550,06/24/2016,23,0.916954634393,7.0,0.532151719248,0
til-madness-do-us-part,70,NULL,06/09/2016,NULL,0,NULL,0.0,0
chronic,69,9033,09/23/2016,7,0.750439716039,6.3,1.02952433024,0
kaili-blues,85,27477,05/20/2016,4,3.65443357687,7.4,0.532258064516,0
the-idol,66,NULL,05/27/2016,NULL,0.0455528008389,NULL,0.0354838709677,0
the-jungle-book-2016,77,364001123,04/15/2016,4144,0.70310846443,7.5,0.0118981372588,0
amanda-knox,78,NULL,09/30/2016,NULL,2.32126728809,7.1,0.0374215998541,0
abortion-stories-women-tell,78,NULL,08/12/2016,NULL,0,NULL,0,0
equity,68,1605463,07/29/2016,255,0.849597367484,6.2,0.691508897375,0
hell-or-high-water,88,27007844,08/12/2016,1505,1.17905337716,8.2,0.577003121748,1
fort-buchanan,77,NULL,02/05/2016,NULL,0,NULL,0.0,0
krisha,86,144822,03/18/2016,26,0.918634494101,8.0,0.167931688805,0
cameraperson,86,102033,09/09/2016,7,0.610758139273,6.7,0.305602716469,0
almost-holy,73,21142,05/20/2016,10,0.0500764020706,NULL,0.0252454417952,0
author-the-jt-leroy-story,72,85999,09/09/2016,27,-0.0744416873449,NULL,0.387096774194,0
a-space-program,72,13739,03/18/2016,1,0.322580645161,NULL,0.387096774194,0
the-bad-kids,75,6226,12/16/2016,6,0.167677740331,NULL,0.177419354839,0
starving-the-beast,77,NULL,09/02/2016,NULL,0.0399286239836,NULL,0.0241935483871,0
boom-bust-boom,68,6896,03/11/2016,1,0.230828501637,NULL,0.0677419354839,0
miss-sharon-jones!,77,120880,07/29/2016,12,0.973469062878,NULL,0.258841818888,0
barry,72,NULL,12/16/2016,NULL,0.736273620215,5.1,0.237740634755,0
chevalier,76,25696,05/27/2016,7,1.7024349569,NULL,0.663822980539,0
being-17,83,52713,10/07/2016,7,-0.0128151218438,8.5,0.0181451612903,0
on-the-silver-globe-1988,72,NULL,07/29/2016,NULL,0.0,NULL,0.0,0
princess,85,NULL,05/27/2016,NULL,1.03867777413,NULL,1.2267010889,0
sand-storm,74,86800,09/28/2016,6,1.28945380651,6.0,0.689330024814,0
kill-zone-2,73,11998,05/13/2016,13,0.328238049744,6.4,0.110599078341,0
mapplethorpe-look-at-the-pictures,75,NULL,03/25/2016,NULL,0,NULL,0.0,0
summertime,72,35322,07/22/2016,6,0.805921403862,NULL,0.0837398515845,0
fastball,74,NULL,03/25/2016,NULL,0.341137237197,5.8,0.162442396313,0
the-wave,68,177404,03/04/2016,37,1.25677177048,6.6,0.450811460629,0
hunt-for-the-wilderpeople,81,5205468,06/24/2016,200,1.31300299218,7.9,1.10566421133,0
homo-sapiens,84,NULL,07/29/2016,NULL,0.889751066298,NULL,1.3935483871,0
theo-who-lived,71,11271,09/30/2016,2,0,NULL,1.35483870968,0
i-am-not-your-negro,95,7123919,12/09/2016,320,0.564119500438,5.4,2.97122929381,0
belladonna-of-sadness,70,NULL,05/06/2016,NULL,0.360604781422,8.5,0.0936524453694,0
trapped-2016,77,63241,03/04/2016,8,2.0760590439,NULL,0.18189044181,0
rabin-in-his-own-words,69,NULL,05/06/2016,NULL,0.0,NULL,0.0,0
mountains-may-depart,79,82913,02/12/2016,12,3.62551862455,7.2,0.0860215053763,0
little-sister,74,NULL,10/14/2016,NULL,0.943144576609,6.1,0.717357910906,0
best-worst-thing-that-ever-could-have-happened,81,106986,11/18/2016,7,1.5202346041,NULL,0.387096774194,0
the-love-witch,82,228894,11/11/2016,22,1.49954691412,6.3,0.303130929791,0
dont-blink---robert-frank,75,76134,07/13/2016,4,0.0,NULL,0.0,0
the-illinois-parables,73,NULL,11/16/2016,NULL,0,NULL,0.0,0
finding-dory,77,486295561,06/17/2016,4305,0.903157391259,7.4,0.00577533029862,0
our-last-tango,70,100086,04/15/2016,6,0.0735099614351,NULL,0.0552995391705,0
silicon-cowboys,75,8239,09/16/2016,12,0.0,NULL,0.0,0
love-and-friendship,87,14016568,05/13/2016,826,0.794505681156,7.0,0.0896142890138,0
the-tenth-man,66,63564,08/05/2016,4,0.0,NULL,0.0,0
do-not-resist,69,72791,09/30/2016,8,0.436397081509,NULL,0.166330645161,0
the-prison-in-twelve-landscapes,86,NULL,11/04/2016,NULL,0,NULL,0.0,0
everything-is-copy,88,NULL,03/11/2016,NULL,0.565610552727,7.8,0.0635080645161,0
the-fits,90,166425,06/03/2016,20,0.889569479327,6.7,0.346543778802,0
other-people,68,91441,09/09/2016,12,0.646650354112,6.6,0.216668501596,0
the-handmaiden,84,2006768,10/21/2016,125,0.985934826914,8.4,0.330010873505,0
viva,69,178008,04/29/2016,17,2.08021608192,7.5,0.280904957783,0
leonard-cohen-bird-on-a-wire,79,NULL,12/02/2016,NULL,0,NULL,0,0
divines,71,NULL,11/18/2016,NULL,0.494295336233,7.4,0.276497695853,0
hidden-figures,74,169607287,12/25/2016,3416,1.0576443257,7.4,2.79393927183,1
patriots-day,69,31886361,12/21/2016,3120,1.02041651453,7.2,1.53882352941,0
tunnel,68,568876,08/26/2016,36,0.868116946571,7.8,0.714774630452,0
fences,79,57682904,12/16/2016,2368,1.16841234803,7.3,2.44408128464,1
my-golden-days,87,269144,03/18/2016,32,0.345996918263,6.8,0.0209241499564,0
the-lost-arcade,66,9522,08/12/2016,1,0.0,NULL,0.0,0
indignation,78,3401155,07/29/2016,317,0.310360025809,7.3,0.0826612903226,0
a-beautiful-planet,75,13880630,04/29/2016,155,0.309302785765,8.3,0.0137096774194,0
hacksaw-ridge,71,67209615,11/04/2016,2971,0.781707462122,8.3,0.160257875365,1
the-clan,73,201227,03/18/2016,19,-9.41136899473,7.6,5.43548387097,0
blood-father,66,NULL,08/12/2016,NULL,2.15146887086,6.6,0.169497995801,0
parched,67,NULL,06/17/2016,NULL,0.924808417732,NULL,0.244039270687,0
the-brand-new-testament,70,127910,12/09/2016,17,0.23669861046,6.8,0.26267281106,0
for-the-love-of-spock,74,80141,09/09/2016,38,0.680657784697,8.1,0.0640757458989,0
blood-on-the-mountain,74,4664,11/18/2016,2,0.173459792918,NULL,0.0774193548387,0
city-of-gold,72,640979,03/11/2016,50,0.296229181523,7.5,0.0777366472766,0
eye-in-the-sky,73,18704595,03/11/2016,1089,1.93764397844,7.1,0.19744160178,0
barbershop-3,67,54030051,04/15/2016,2676,0.429826261764,5.8,0.00678640908474,0
loving,79,7751969,11/04/2016,572,0.986196632812,7.3,0.807512584934,0
a-war,81,122902,02/12/2016,30,4.30302488857,7.6,0.0850439882698,0
kung-fu-panda-3,66,143528619,01/29/2016,3987,1.71938365545,7.4,0.0263567362429,0
right-now-wrong-then,81,24470,06/24/2016,2,1.92035272076,8.0,0.193548387097,0
portrait-of-a-garden,70,7914,10/26/2016,1,0,NULL,0.387096774194,0
mia-madre,70,303002,08/26/2016,35,0.0786107203107,6.1,0.0721705850191,0
wedding-doll,66,56196,04/15/2016,7,0.0,6.0,0.0552995391705,0
demon,80,104038,09/09/2016,24,0.961084530335,6.5,0.956109645107,0
imperium,68,NULL,08/19/2016,NULL,0.432683737147,6.8,0.0723390548065,0
the-academy-of-muses,82,NULL,09/02/2016,NULL,0,NULL,0.0,0
the-infiltrator,66,15436808,07/13/2016,1601,1.13908378416,7.3,0.0284560812135,0
the-ivory-game,73,NULL,11/04/2016,NULL,2.30854610082,7.7,0.078799249531,0
kubo-and-the-two-strings,84,48023088,08/19/2016,3279,0.980846752964,8.2,0.11387011209,0
sing-street,79,3237118,04/15/2016,525,0.841466256686,8.6,1.39973016068,0
the-invitation,74,231737,04/08/2016,31,0.516957981941,7.4,0.054050473604,0
old-stone,72,7476,11/30/2016,6,-0.402548116021,NULL,0.110599078341,0
tikkun,71,13671,06/10/2016,2,0.0633431085044,NULL,0.119106699752,0
kate-plays-christine,75,25564,08/24/2016,3,0.394671654836,NULL,0.127016129032,0
things-to-come,88,388140,12/02/2016,22,0.84345527897,6.8,0.341013824885,0
equal-means-equal,71,NULL,08/26/2016,NULL,0.74692395543,NULL,0.0823322985558,0
godzilla-resurgence,67,1918403,10/11/2016,490,0.120154200519,7.4,0.0162717670568,0
moonlight-2016,99,27854932,10/21/2016,1564,0.935174353963,7.2,1.172276851,1
hail-caesar!,72,30498085,02/05/2016,2248,1.01061246355,5.9,0.281353265146,0
operation-avalanche,69,NULL,09/16/2016,NULL,0.102230920932,6.7,0.155866400228,0
maya-angelou-and-still-i-rise,66,NULL,10/14/2016,NULL,0,NULL,0.193548387097,0
art-bastard,70,19600,06/03/2016,2,0.0,NULL,0.0,0
dying-to-know-ram-dass-timothy-leary,69,6899,06/17/2016,3,0,NULL,0,0
sworn-virgin,70,NULL,04/22/2016,NULL,0.0,NULL,0.0322580645161,0
they-will-have-to-kill-us-first,67,7516,03/04/2016,2,0.0,NULL,0.0,0
20th-century-women,83,5664764,12/28/2016,650,0.96060725018,7.2,0.848961555457,0
justin-timberlake-and-the-tennessee-kids,81,NULL,10/12/2016,NULL,-0.0564384348457,9.4,0.00683111954459,0
fatima,69,50105,08/26/2016,4,1.42503676432,NULL,0.217979904812,0
april-and-the-extraordinary-world,85,295488,03/25/2016,35,0.44158070998,7.5,0.0407470288625,0
microbe-and-gasoline,75,63802,07/01/2016,9,-0.0946464292423,NULL,0.00569259962049,0
maggies-plan,76,3351735,05/20/2016,335,0.870652735728,6.1,0.0506603160857,0
hunter-gatherer,70,20641,11/16/2016,21,0.62332842004,NULL,0.256320836966,0
sausage-party,66,97685686,08/12/2016,3135,0.127344926845,5.6,0.0426529778919,0
afternoon,70,NULL,04/01/2016,NULL,0.919509793236,NULL,0.55525090628,0
sully,74,125070033,09/09/2016,3955,0.80320174845,7.6,0.0745378900941,0
louder-than-bombs,70,163807,04/08/2016,40,1.00667095911,6.9,0.0621485646641,0
zootopia,78,341268248,03/04/2016,3959,0.969948503098,8.7,0.0447198909969,0
dont-breathe,71,89217875,08/26/2016,3384,0.540740592104,7.4,0.0341172587539,0
southside-with-you,74,6304223,08/26/2016,897,0.835697603844,5.4,0.0346970889064,0
hooligan-sparrow,78,9263,07/22/2016,4,1.91741912803,NULL,1.5,0
elle,89,2341534,11/11/2016,209,3.17408113213,7.2,29.2516129032,0
last-cab-to-darwin,70,34193,06/10/2016,4,0.478294049333,6.8,0.175953079179,0
the-birth-of-a-nation,69,15861566,10/07/2016,2105,0.489529147626,5.4,0.0507015999586,0
in-the-shadow-of-women,74,50291,01/15/2016,4,0,8.5,0.0967741935484,0
the-witch,83,25138705,02/19/2016,2204,1.72718436943,7.2,0.127044366134,0
oasis-supersonic,71,242867,10/26/2016,106,0.440879171867,8.3,0.377316403569,0
spa-night,76,38578,08/19/2016,2,0.275454167099,7.2,0.213399503722,0
train-to-busan,72,2129768,07/22/2016,36,1.31999240425,7.9,1.5061071093,0
the-last-man-on-the-moon,78,52482,02/26/2016,14,0.0907252908081,6.4,1.45161290323,0
seasons,67,150092,11/25/2016,22,1.05652164357,NULL,0.531144964861,0
florence-foster-jenkins,71,27383770,08/12/2016,1528,0.714634907216,7.0,0.16552243017,0
women-hes-undressed,76,NULL,07/29/2016,NULL,0.0491615267898,NULL,0.0322580645161,0
la-la-land,93,151101803,12/09/2016,3236,0.868792842546,8.3,2.20612545796,1
the-innocents-2016,78,1065665,07/01/2016,69,0.143714489206,7.8,0.130089899524,0
our-little-sister,75,531996,07/08/2016,10,0.419896733008,7.7,0.149843912591,0
vita-activa-the-spirit-of-hannah-arendt,66,82143,04/06/2016,4,0,NULL,0.0,0
breaking-a-monster,72,4212,06/24/2016,1,0.875483684089,NULL,0.129032258065,0
peter-and-the-farm,80,18123,11/04/2016,8,0.350683401684,NULL,0.0252454417952,0
colliding-dreams,79,78288,03/04/2016,14,0.202969931715,NULL,0.0101867572156,0
last-days-in-the-desert,67,NULL,05/13/2016,NULL,0.0307636157759,5.7,0.00356224025331,0
nocturnal-animals,67,10663357,11/18/2016,1262,0.805467782484,7.7,0.796754403325,0
the-childhood-of-a-leader,68,NULL,07/22/2016,NULL,0.763505873562,7.0,0.094623655914,0
in-order-of-disappearance,74,50251,08/26/2016,10,0.309805527267,7.6,0.0584297017651,0
midnight-special,76,3712282,03/18/2016,521,1.05335140357,6.8,0.0667741935484,0
captain-america-civil-war,75,408084349,05/06/2016,4226,1.15761906297,8.2,0.00645753554976,0
cemetery-of-splendor,87,51950,03/04/2016,6,0.520834989428,6.7,0.058064516129,0
kicks,69,150191,09/09/2016,65,1.43877481532,7.1,1.03219854779,0
the-dark-horse,77,67533,04/01/2016,10,0.261339198041,6.8,0.120571126388,0
popstar-never-stop-never-stopping,68,9639125,06/03/2016,2313,0.918762547574,7.4,0.0141620771046,0
neither-heaven-nor-earth,72,12810,08/05/2016,3,0.275525303344,NULL,0.0276497695853,0
diamond-tongues,75,NULL,02/19/2016,NULL,0.0,NULL,0.193548387097,0
under-the-sun,81,105036,07/06/2016,6,4.25302328292,6.1,0.341733870968,0
the-meddler,68,4267218,04/22/2016,464,1.43839929869,6.6,0.0611733244192,0
the-rolling-stones-ole-ole-ole!-a-trip-across-latin-america,72,NULL,09/30/2016,NULL,0,NULL,0,0
norman-lear-just-another-version-of-you,66,70950,07/08/2016,6,0.0,NULL,0.0,0
lo-and-behold-reveries-of-the-connected-world,76,594912,08/19/2016,51,0.940322580643,7.4,0.967741935484,0
newtown,87,14109,10/07/2016,3,0.847143657564,7.4,0.745088527771,0
